,Topic,Count,Name
129,128,145,128_bakeries baked products_cookbooks cakes_baked products cakes_recipes
130,129,145,129_boris johnson_ncov boris johnson_brexit_politics government coronavirus
131,130,144,130_podcasting_podcasts quarantine life_podcasts quarantine_annual podcast contest
132,131,144,131_media_social media rumors_jan social media_censorship
133,132,143,132_york city real_city real estate_city real_market new york
134,133,142,133_york region real_region real estate_new york region_york region
135,134,141,134_time weekend television_weekend television_television much watching_weekend television much
136,135,139,135_hodgman_john hodgman_judge john hodgman_comedy humor judge
137,136,139,136_waste materials_waste materials disposal_recycling waste_plastic bags
138,137,138,137_sports_athletics sports_coronavirus ncov athletics_ncov athletics sports
139,138,136,138_afghanistan war_afghanistan war united_forces afghanistan_military forces afghanistan
140,139,135,139_music coronavirus_music coronavirus ncov_coachella_coronavirus ncov pop
141,140,134,140_lebanon explosions_beirut lebanon explosions_government beirut_politics government beirut
142,141,134,141_children childhood vaccination_coronavirus ncov children_childhood coronavirus_children childhood coronavirus
143,142,134,142_ezra klein_ezra_transcript ezra_transcript ezra klein
144,143,134,143_groundings safety_groundings_boeing max groundings_max groundings
145,144,134,144_taliban_afghanistan war_afghanistan war united_afghanistan war politics
146,145,134,145_melania_melania trump_first ladies_first ladies us
147,146,133,146_choose real estate_residential renting_housing residential renting_leasing real
148,147,132,147_transactions real estate_estate transactions real_real estate transactions_transactions
149,148,132,148_salons_beauty salons_barbering_barbers barbering
150,149,131,149_voted elections presidential_groups voted_groups voted elections_different groups voted
151,150,131,150_china_computer chips_china law legislation_regulation deregulation industry
152,151,130,151_guantánamo_military tribunals_guantánamo bay_detainees united states
153,152,129,152_anxiety_coronavirus ncov anxiety_stress coronavirus_anxiety stress coronavirus
154,153,129,153_whales_whales whaling_shark_dolphins porpoises
155,154,129,154_elephants_wildlife_wildlife trade poaching_wildlife trade
156,155,129,155_food banks_pantries_food stamps_food banks pantries
157,156,128,156_quarantines_coronavirus ncov britain_travel warnings_quarantines politics government
158,157,128,157_coronavirus ncov cruises_cruises coronavirus_cruises travel vacations_cruises coronavirus ncov
159,158,127,158_hong kong protests_kong protests politics_riots hong_riots hong kong
160,159,126,159_primaries caucuses texas_caucuses texas_congressional district primary_caucuses texas primary
161,160,126,160_sanctions united states_weapons embargoes sanctions_nuclear weapons embargoes_weapons embargoes
162,161,124,161_breast cancer_crispr_genetics heredity_dna
163,162,124,162_deaths obituaries baseball_obituaries baseball_baseball halls fame_baseball black people
164,163,123,163_chinese food cuisine_restaurants chinese food_restaurants chinese_thai food cuisine
165,164,122,164_county kentucky_county kentucky covid_kentucky covid case_kentucky covid
166,165,121,165_stock index_standard poors stock_poors stock index_stocks bonds
167,166,121,166_college football_football college coronavirus_college coronavirus_college coronavirus ncov
168,167,121,167_homeless persons_affordable housing_homeless persons affordable_persons affordable housing
169,168,120,168_black lives_black lives matter_floyd protests_protests black
170,169,120,169_balance careers_balance careers professions_worklife balance careers_worklife
171,170,120,170_impeachment storming_impeachment storming us_jan impeachment_capitol jan impeachment
172,171,119,171_missouri covid case_missouri covid_county missouri_county missouri covid
173,172,119,172_tornadoes_tornadoes deaths_tornadoes weather_kentucky tornadoes
174,173,119,173_korea_nuclear tests_missiles missile defense_disarmament
175,174,119,174_personal finances_retirement plans_pensions_retirement accounts
176,175,119,175_coronavirus ncov hospitals_doctors nursing nurses_ventilators medical_emergency medical
177,176,118,176_monday briefing monday_briefing monday briefing_briefing monday_monday briefing
178,177,118,177_freestyle skiing_olympic games snowboarding_alpine skiing_skiing olympic
179,178,118,178_friday briefing friday_briefing friday briefing_briefing friday_friday briefing
180,179,118,179_cocktails mixed_cocktails mixed drinks_beverages cocktails_beverages cocktails mixed
181,180,117,180_bernie_sanders_bernie sanders_politics government bernie
182,181,117,181_voting rights_voter registration requirements_voter registration_voting rights act
183,182,116,182_macron_france_le pen_elections politics government
184,183,115,183_coronavirus cases_ncov disease rates_cases coronavirus_new coronavirus cases
185,184,114,184_weinstein_harvey weinstein_metoo_metoo movement sexual
186,185,114,185_jewelry fashion apparel_jewelry fashion_jewels jewelry design_jewelry design
187,186,113,186_things recommend week_five things recommend_recommend week_recommend week art
188,187,113,187_amy coney barrett_coney barrett_judge barrett_barrett appointments executive
189,188,112,188_thrillers_crime novels_marilyn stasio_thrillers books
190,189,112,189_surfside fla_fla building collapse_surfside fla building_condo collapse
191,190,111,190_ginsburg_ruth bader ginsburg_bader ginsburg_justice ginsburg
192,191,110,191_prisoners coronavirus ncov_prisoners coronavirus_prisons prisoners coronavirus_ncov prisons prisoners
193,192,109,192_mayor race_elections mayors primaries_mayor race elections_mayoral debate
194,193,108,193_elizabeth warren_caucuses elizabeth warren_primaries caucuses elizabeth_election elizabeth warren
195,194,107,194_ncov united states_coronavirus ncov united_government coronavirus_politics government coronavirus
196,195,106,195_presidential transition us_presidential transition_transition us united_executive changes united
197,196,106,196_britney_britney spears_music wills estates_music britney spears
198,197,106,197_internalelectionopen california election_california election results_california election_election internalelectionopen california
199,198,105,198_county kansas covid_kansas covid case_county kansas_kansas covid
200,199,105,199_epidemics_coronavirus ncov epidemics_global coronavirus_pandemic coronavirus
201,200,103,200_tax credits_child care_child tax credits_tax credits stipends
202,201,103,201_trade center_world trade center_trade center manhattan_september world trade
203,202,103,202_television late night_giuliani_late night hosts_trump late night
204,203,102,203_literature black_books literature black_literature black people_zora neale hurston
205,204,102,204_illinois covid case_county illinois covid_county illinois_illinois covid
206,205,102,205_estate housing residential_suburb_township_milford
207,206,101,206_jeffrey epstein_sex crimes_neglect prostitution_abuse neglect prostitution
208,207,101,207_life culture_quarantine life culture_quarantine life_quarantine
209,208,101,208_housing residential living_estate housing residential_housing residential_real estate housing
210,209,101,209_happiness_psychology psychologists_audioneutralinformative audiopositivehappy_culture anxiety stress
211,210,101,210_us capitol jan_storming us capitol_jan committee_capitol jan jan
212,211,101,211_priests_priests sex_priests sex crimes_priests child
213,212,100,212_modern love podcast_modern love_love_love emotion podcasts
214,213,100,213_news quiz students_weekly news_weekly news quiz_news quiz
215,214,100,214_floyd_george floyd_george floyd protests_floyd protests
216,215,99,215_bezos_jeff bezos_antitrust_laws competition issues
217,216,99,216_immigration_border barriers_illegal immigration_immigration immigration
218,217,99,217_iowa covid case_county iowa covid_county iowa_iowa covid
219,218,99,218_art black people_blacks art_people blacks art_blacks museums
220,219,98,219_merkel_angela merkel_berlin wall_merkel politics
221,220,98,220_syria_kurds united_kurds united states_military forces kurds
222,221,97,221_arbery killing_murders homicides_attempted murders homicides_arbery murder
223,222,97,222_going graph_2019 going graph_2021 going graph_2022 going graph
224,223,96,223_engagements coronavirus_weddings engagements coronavirus_engagements coronavirus ncov_coronavirus ncov weddings
225,224,96,224_childbirth_pregnancy childbirth_infants pregnancy childbirth_childbirth babies infants
226,225,96,225_mortgages_housing residential mortgages_residential mortgages_real estate
227,226,96,226_simone biles_olympic games gymnastics_gymnastics olympic_gymnastics olympic games
228,227,95,227_immigration_immigration detention_immigration immigration_policy us immigration
229,228,95,228_weekender_weekender weekender_weekender weekender weekender_sundays tents content
230,229,95,229_deaths obituaries photography_photography deaths_photography deaths obituaries_robert frank
231,230,94,230_county nebraska covid_county nebraska_nebraska covid case_nebraska covid
232,231,94,231_venezuela_sanctions venezuela_international relations venezuela_relations venezuela
233,232,94,232_mississippi covid case_county mississippi covid_county mississippi_mississippi covid
234,233,94,233_jackson_brown jackson_ketanji brown jackson_ketanji brown
235,234,94,234_privacy_privacy datamining_privacy datamining database_database marketing privacy
236,235,94,235_travel vacations_ecotourism_vacations ecotourism_travel vacations ecotourism
237,236,94,236_government hungary_politics government hungary_poland hungary_government romania
238,237,93,237_cookbooks cooking_cookbook_literature cooking cookbooks_books literature cooking
239,238,93,238_coronavirus ncov drugs_ncov drugs_ncov drugs pharmaceuticals_molnupiravir drug
240,239,93,239_sleep content_sleep disorder_apnea sleep_sleep insomnia
241,240,92,240_poors stock index_standard poors stock_coronavirus ncov stocks_index economic conditions
242,241,92,241_punishment united states_capital punishment united_capital punishment murders_punishment murders
243,242,92,242_language languages english_french language_emojis emoticons_quebec
244,243,92,243_county indiana covid_county indiana_indiana covid case_indiana covid
245,244,92,244_amnesties commutations pardons_commutations pardons_commutations pardons united_pardons united states
246,245,92,245_small businesses_aid relief economic_relief economic security_coronavirus aid relief
247,246,92,246_election internalelectionopen florida_florida election results_florida election_internalelectionopen florida election
248,247,91,247_trade publishing_literature book trade_books literature book_libraries librarians
249,248,91,248_california gubernatorial recall_gubernatorial recall_elections california gubernatorial_california gubernatorial
250,249,91,249_middle east africa_africa migrant crisis_east africa migrant_east africa
251,250,91,250_palestinians_palestinians coronavirus ncov_palestinians coronavirus_ncov palestinians
252,251,90,251_emissions united_emissions united states_biden climate_greenhouse gas emissions
253,252,90,252_saudi_khashoggi_assassinations attempted assassinations_khashoggi killing
254,253,89,253_coronavirus ncov race_ncov black people_coronavirus ncov black_blacks hispanicamericans
255,254,89,254_floods deaths fatalities_floods global warming_floods global_floods landslides mudslides
256,255,89,255_organized labor_union_organized labor warehouses_union vote
257,256,89,256_theater tony awards_awards tony_theater awards tony_awards theater tony
258,257,88,257_college athletics_athlete compensation_student athlete compensation_college athletes
259,258,88,258_county minnesota covid_minnesota covid case_county minnesota_minnesota covid
260,259,88,259_bahrain much know_bahrain_know yemen much_malawi much know
261,260,88,260_taliban_afghan women_rights afghanistan_rights afghanistan war
262,261,88,261_football coronavirus_football coronavirus ncov_coronavirus ncov football_football coronavirus reopenings
263,262,87,262_relationships coronavirus_dating relationships coronavirus_relationships coronavirus ncov_coronavirus ncov dating
264,263,87,263_putin_invasion ukraine united_ukraine biden_international relations
265,264,87,264_york restaurants_new york restaurants_brooklyn restaurants_midtown
266,265,86,265_canadian federal election_election canada_politics government canadian_politics government trudeau
267,266,86,266_antique classic cars_classic cars_automobiles antique classic_automobiles antique
268,267,86,267_student loans_student loans colleges_loans colleges_loans colleges universities
269,268,86,268_ethiopia_tigrayans ethnic group_armed conflicts tigrayans_conflicts tigrayans ethnic
270,269,85,269_afghanistan war_afghanistan_kabul_afghans
271,270,85,270_deaths obituaries art_women girls museums_obituaries art sculpture_women art
272,271,84,271_facial recognition_facial recognition software_clearview ai_recognition software computers
273,272,84,272_saw_train_walked_saw woman
274,273,84,273_chinese ethnic group_uighurs chinese ethnic_ethnic group_human rights
275,274,84,274_elizabeth holmes_holmes_elizabeth holmes trial_holmes trial
276,275,84,275_election hispanicamericans_presidential election hispanicamericans_hispanicamericans presidential election_hispanicamericans voting
277,276,84,276_volcanoes_volcanoes evacuations evacuees_volcanoes evacuations_volcano erupts
278,277,84,277_kentucky derby_preakness_triple crown horse_crown horse racing
279,278,83,278_hong kong protests_kong protests demonstrations_protests riots hong_riots hong kong
280,279,83,279_michigan covid case_county michigan_county michigan covid_michigan covid
281,280,83,280_coronavirus ncov germany_internalessential germany_vaccination immunization germany_immunization germany
282,281,83,281_hinduism_muslims islam_hinduism muslims_hinduism muslims islam
283,282,83,282_global warming_climate change_greenhouse gas emissions_global warming greenhouse
284,283,83,283_taxes_net worth individuals_income tax_gains tax
285,284,83,284_driverless semiautonomous_driverless semiautonomous vehicles_semiautonomous vehicles_tesla
286,285,83,285_coronavirus reopenings education_education coronavirus_education coronavirus reopenings_shutdowns institutional education
287,286,83,286_museums coronavirus_museums coronavirus reopenings_museums coronavirus ncov_art museums coronavirus
288,287,82,287_basketball coronavirus_basketball coronavirus ncov_coronavirus reopenings basketball_coronavirus ncov basketball
289,288,81,288_grammy awards_grammys_awards pop rock_music grammy
290,289,80,289_cosmetics_cosmetics toiletries_skin cosmetics toiletries_cosmetics toiletries skin
291,290,80,290_immunization workplace_vaccination immunization workplace_immunization workplace hazards_workplace hazards
292,291,80,291_soccer coronavirus_coronavirus ncov soccer_soccer coronavirus reopenings_soccer soccer
293,292,80,292_brazil covid_coronavirus ncov brazil_government brazil_politics government brazil
294,293,79,293_computer video games_video game system_nintendo_playstation
295,294,79,294_bicycles_bicycling_bicycles bicycling_bicycles bicycling cycling
296,295,79,295_foreign policy_biden foreign policy_biden foreign_international relations united
297,296,79,296_antiquities_antiquities looting_arts antiquities looting_arts antiquities
298,297,79,297_riots trucks_riots trucks trucking_protests riots trucks_demonstrations protests riots
299,298,79,298_house representatives georgia_representatives georgia_georgia election results_georgia election
300,299,78,299_meghan_meghan harry_prince harry meghan_families harry meghan
301,300,78,300_automobile racing_nascar_indianapolis auto race_daytona auto race
302,301,78,301_bloomberg_primaries caucuses bloomberg_caucuses bloomberg_bloomberg presidential election
303,302,78,302_slavery_slavery historical_historical black people_slavery historical black
304,303,78,303_portland_george floyd protests_floyd protests_federalstate relations
305,304,78,304_census_2020 census_census census_population census
306,305,78,305_smartphones_android_android operating system_mobile applications
307,306,77,306_jews judaism_jews judaism coronavirus_judaism coronavirus_synagogues
308,307,77,307_york election results_york election_new york election_caucuses new york
309,308,77,308_texas election results_texas election_internalelectionopen texas election_election internalelectionopen texas
310,309,75,309_county arkansas_arkansas covid case_county arkansas covid_arkansas covid
311,310,75,310_equal rights amendment_constitution womens rights_us constitution womens_womens rights nineteenth
312,311,75,311_italy_coronavirus italy_italy coronavirus_coronavirus ncov italy
313,312,75,312_occult_occult sciences_witchcraft_tarot
314,313,75,313_minneapolis police_brutality misconduct shootings_police brutality_protests minneapolis
315,314,74,314_track field_olympic games track_track field running_track field olympic
316,315,74,315_new york connecticut_york connecticut real_york connecticut_connecticut real estate
317,316,73,316_infertility_vitro fertilization_fertility_insemination
318,317,73,317_wounded_say murders attempted_attempted murders homicides_murders attempted murders
319,318,73,318_new jersey real_jersey real estate_york new jersey_new york new
320,319,73,319_impeachment united states_impeachment impeachment_politics government impeachment_analysis impeachment united
321,320,72,320_alzheimer_alzheimers disease dementia_alzheimers disease memory_dementia alzheimers disease
322,321,72,321_privacy_teenagers_teenagers adolescence_media children childhood
323,322,72,322_biden leads_leads trump_biden leads trump_presidential election polls
324,323,72,323_service cook week_cook week cooking_week cooking cookbooks_week cooking
325,324,71,324_meatpacking plants slaughterhouses_slaughterhouses coronavirus_plants slaughterhouses coronavirus_workplace hazards
326,325,71,325_france coronavirus_coronavirus france_france lockdown_quarantines french
327,326,71,326_day evolution_prayer_magic lifeline made_moat quotation day
328,327,71,327_fish_marine life_fish marine_fish marine life
329,328,71,328_halloween_haunted houses_halloween coronavirus_halloween costumes
330,329,71,329_brady_tom brady_patrick mahomes_football tom brady
331,330,71,330_prisons_prisons prisoners_films programs prisons_programs prisons prisoners
332,331,71,331_bolton_john bolton_bolton book_trumpukraine whistleblower
333,332,70,332_political advertising_political ads_advertising political advertising_online advertising political
334,333,70,333_skateboarding_skateboarding olympic_skateboarding olympic games_olympic games skateboarding
335,334,70,334_movies animated films_sonic hedgehog_sonic_marcel shell
336,335,70,335_muslims_paris attacks_muslims islam_paris attacks november
337,336,70,336_editor books literature_literature letters_literature_books literature letter
338,337,70,337_reservoirs_drought global warming_drought global_drought water
339,338,70,338_competition issues_antitrust laws competition_laws competition issues_google antitrust
340,339,69,339_emmy awards television_awards emmys_emmy awards emmys_emmy awards actors
341,340,69,340_remote learning_online learning_distance learning_internet teachers
342,341,69,341_softbank_initial public offerings_coworking real estate_public offerings wework
343,342,69,342_baseball cheating_astros_cheating baseball_baseball coaches managers
344,343,69,343_mountaineering_climbers_mount everest_climbing olympic games
345,344,69,344_democracy_democracy theory_democracy theory philosophy_democracy united states
346,345,69,345_monday briefing politics_briefing quarantine life_politics government defense_vaccination immunization monday
347,346,69,346_alabama covid_county alabama_alabama covid case_county alabama covid
348,347,69,347_design furnishings_interior design furnishings_furniture interior design_furniture interior
349,348,68,348_county florida covid_florida covid case_county florida_florida covid
350,349,68,349_qanon conspiracy_conspiracy theories_qanon conspiracy theories_theories fringe groups
351,350,68,350_books literature coronavirus_literature coronavirus_coronavirus ncov books_pandemic books
352,351,68,351_snow snowstorms_weather snow snowstorms_snow snowstorms weather_snowstorms weather
353,352,68,352_hurricane dorian_hurricane dorian hurricanes_dorian hurricanes tropical_dorian hurricane
354,353,68,353_spain_cases rise europe_epidemics spain_politics government coronavirus
355,354,67,354_recession_recession depression_economy recession_states economy recession
356,355,67,355_tobacco_smoking tobacco_ecigarettes smoking tobacco_ecigarettes smoking
357,356,67,356_submersibles_submarines submersibles_submarines_relations submarines
358,357,67,357_coronavirus return office_office coronavirus_return office workplace_return office coronavirus
359,358,67,358_newspapers news news_newspapers news_news media newspapers_gawker
360,359,67,359_native americans_cherokee indians_columbus day_indigenous
361,360,67,360_dinosaurs_dinosaur_dinosaurs paleontology_paleontology fossils
362,361,67,361_veterans_veterans day_vietnam war_veterans united states
363,362,66,362_chinese vaccine_vaccines_vaccination immunization_ncov vaccination immunization
364,363,66,363_kathy hochul_elections governors_gov hochul_caucuses hochul
365,364,66,364_supply chain_international trade world_trade world market_supply chain ports
366,365,66,365_australia_melbourne_coronavirus ncov australia_reopenings australia
367,366,66,366_gymnastics_nassar_neglect gymnastics_abuse neglect gymnastics
368,367,66,367_000 homes_000 homes new_000 homes ohio_real estate housing
369,368,66,368_election women_presidential election women_election women girls_women politics
370,369,66,369_service cook weekend_weekend cooking cookbooks_weekend cooking_type service cook
371,370,66,370_customs tariff_world market customs_tariff united states_international trade world
372,371,66,371_ukraine zelensky_invasion ukraine zelensky_russian invasion ukraine_russian invasion
373,372,66,372_pennsylvania election results_pennsylvania election_election internalelectionopen pennsylvania_house representatives pennsylvania
374,373,65,373_parish louisiana covid_parish louisiana_louisiana covid case_louisiana covid
375,374,65,374_night week television_week television_late night week_week television best
376,375,65,375_skiing travel vacations_skiing coronavirus_travel vacations winter_travel vacations alpine
377,376,64,376_giuliani_trumpukraine whistleblower_whistleblower complaint impeachment_complaint impeachment
378,377,64,377_police reform_police police_police brutality_brutality misconduct shootings
379,378,63,378_holidays special occasions_gifts holidays special_holiday gift guide_gift guide
380,379,63,379_colorado covid case_county colorado covid_county colorado_colorado covid
381,380,63,380_invasion ukraine news_ukraine news_ukraine news news_russian invasion ukraine
382,381,63,381_kelly_kelly trial_sex crimes_sex crimes kelly
383,382,63,382_countries_world developing countries_developing countries_vaccinate world
384,383,63,383_representatives california_house representatives california_results midterm elections_election results midterm
385,384,63,384_solar energy_renewable energy_alternative renewable energy_alternative renewable
386,385,63,385_duterte_duterte says_philippines politics_philippines politics government
387,386,62,386_cold war_international relations_international relations international_relations international
388,387,62,387_subway shooting_subway shooting april_shooting april subways_april subways
